cap,beta,s,rho0,weights,d_sel,slope,n_eq,ap_sel,W_sel,W_nbs,poa,sigma_star
35,2.0,0.6,0.95,equal,0.050000000000000044,-0.15833333336101596,1,0.0,0.5108306626962487,0.7446987324298536,1.4578191694664737,0.6727718373209992
35,2.0,0.6,0.95,driver-heavy,0.050000000000000044,-0.15833333336101596,1,0.0,0.566551789873244,0.802714346152823,1.416841956023855,0.6727718373209992
35,2.0,0.6,0.95,grid-heavy,0.050000000000000044,-0.15833333336101596,1,0.0,0.5212655364099572,0.7334510908401217,1.4070584752092414,0.6727718373209992
35,2.0,0.6,0.97,equal,0.03000000000000025,-0.09700000002110797,1,0.0,0.5617494496002183,0.7446987324298536,1.3256777251136342,0.31377601091969964
35,2.0,0.6,0.97,driver-heavy,0.03000000000000025,-0.09700000002110797,1,0.0,0.6271898822009462,0.802714346152823,1.2798585706388041,0.31377601091969964
35,2.0,0.6,0.97,grid-heavy,0.03000000000000025,-0.09700000002110797,1,0.0,0.5752454749111742,0.7334510908401217,1.2750227908413825,0.31377601091969964
35,4.0,0.25,0.9,equal,0.10000000000000009,-1.4400000028169655,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,0.7662986454542021
35,4.0,0.25,0.9,driver-heavy,0.10000000000000009,-1.4400000028169655,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,0.7662986454542021
35,4.0,0.25,0.9,grid-heavy,0.10000000000000009,-1.4400000028169655,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,0.7662986454542021
35,4.0,0.25,0.95,equal,0.050000000000000044,-0.7600000023144647,1,0.0,0.5108306626962487,0.7446987324298536,1.4578191694664737,0.3794950449966474
35,4.0,0.25,0.95,driver-heavy,0.050000000000000044,-0.7600000023144647,1,0.0,0.566551789873244,0.802714346152823,1.416841956023855,0.3794950449966474
35,4.0,0.25,0.95,grid-heavy,0.050000000000000044,-0.7600000023144647,1,0.0,0.5212655364099572,0.7334510908401217,1.4070584752092414,0.3794950449966474
35,4.0,0.25,0.97,equal,0.030000000000000027,-0.4656000016367567,1,0.0,0.5617494496002192,0.7446987324298536,1.3256777251136322,0.16658011732943906
35,4.0,0.25,0.97,driver-heavy,0.030000000000000027,-0.4656000016367567,1,0.0,0.6271898822009472,0.802714346152823,1.2798585706388022,0.16658011732943906
35,4.0,0.25,0.97,grid-heavy,0.030000000000000027,-0.4656000016367567,1,0.0,0.5752454749111751,0.7334510908401217,1.2750227908413805,0.16658011732943906
35,4.0,0.4,0.9,equal,0.10000000000000009,-0.9000000006920138,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,1.0309147998832642
35,4.0,0.4,0.9,driver-heavy,0.10000000000000009,-0.9000000006920138,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,1.0309147998832642
35,4.0,0.4,0.9,grid-heavy,0.10000000000000009,-0.9000000006920138,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,1.0309147998832642
35,4.0,0.4,0.95,equal,0.050000000000000044,-0.47500000056599484,1,0.0,0.5108306626962487,0.7446987324298536,1.4578191694664737,0.5320290391511765
35,4.0,0.4,0.95,driver-heavy,0.050000000000000044,-0.47500000056599484,1,0.0,0.566551789873244,0.802714346152823,1.416841956023855,0.5320290391511765
35,4.0,0.4,0.95,grid-heavy,0.050000000000000044,-0.47500000056599484,1,0.0,0.5212655364099572,0.7334510908401217,1.4070584752092414,0.5320290391511765
35,4.0,0.4,0.97,equal,0.030000000000000027,-0.29100000040194196,1,0.0,0.5617494496002192,0.7446987324298536,1.3256777251136322,0.23936515488364316
35,4.0,0.4,0.97,driver-heavy,0.030000000000000027,-0.29100000040194196,1,0.0,0.6271898822009472,0.802714346152823,1.2798585706388022,0.23936515488364316
35,4.0,0.4,0.97,grid-heavy,0.030000000000000027,-0.29100000040194196,1,0.0,0.5752454749111751,0.7334510908401217,1.2750227908413805,0.23936515488364316
35,4.0,0.6,0.9,equal,0.10000000000000009,-0.6000000002059913,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,1.3837363391220137
35,4.0,0.6,0.9,driver-heavy,0.10000000000000009,-0.6000000002059913,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,1.3837363391220137
35,4.0,0.6,0.9,grid-heavy,0.10000000000000009,-0.6000000002059913,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,1.3837363391220137
35,4.0,0.6,0.95,equal,0.050000000000000044,-0.31666666683860534,1,0.0,0.5108306626962487,0.7446987324298536,1.4578191694664737,0.735407698023882
35,4.0,0.6,0.95,driver-heavy,0.050000000000000044,-0.31666666683860534,1,0.0,0.566551789873244,0.802714346152823,1.416841956023855,0.735407698023882
35,4.0,0.6,0.95,grid-heavy,0.050000000000000044,-0.31666666683860534,1,0.0,0.5212655364099572,0.7334510908401217,1.4070584752092414,0.735407698023882
35,4.0,0.6,0.97,equal,0.03000000000000025,-0.19400000011993154,1,0.0,0.5617494496002183,0.7446987324298536,1.3256777251136342,0.33641187162258235
35,4.0,0.6,0.97,driver-heavy,0.03000000000000025,-0.19400000011993154,1,0.0,0.6271898822009462,0.802714346152823,1.2798585706388041,0.33641187162258235
35,4.0,0.6,0.97,grid-heavy,0.03000000000000025,-0.19400000011993154,1,0.0,0.5752454749111742,0.7334510908401217,1.2750227908413825,0.33641187162258235
50,1.0,0.25,0.9,equal,0.10000000000000009,-0.3600000000492098,1,0.0,0.4409715423065195,0.7460967711860489,1.6919385937776381,0.6787464118994155
